,id,type,number,country,date,abstract,title,kind,num_claims
11,5656917,,5656917,,1997-08-12,"A battery identification system (100) includes a battery (104), a device (102), and an apparatus (106). The battery (104) is of a particular type (e.g., NiCd, NiMH, Lithium Ion) and is detachably coupled to the device (102). The device (102) includes a controller (112) that determines the type of the battery (104) and generates a number of signals according to the type. The apparatus (106) is detachably coupled to the device (102) and includes a current source (164) and a controller (162) that detects the number of signals. The controller (162), responsive to the controller (112), controls the current source (164) to initially provide charging current at a first rate to the battery (104) until reception of a first one of the number of signals. The controlle",Battery identification apparatus and associated method,,19
12,5661635,,5661635,,1997-08-26,A reusable housing receives a memory card containing a machine-readable storage medium to interface with a device having a PC card interface within a PC card slot. The memory card has a plurality of connection points for externally accessing the machine-readable storage medium. The reusable housing includes a housing member which removably receives and retains the memory card. The housing member has an exterior dimensioned to allow insertion thereof in the PC card slot. A PC card connector is positioned on the housing member to interface with the PC card interface when the housing member is inserted in the PC card slot. The reusable housing further includes an interface which receives the plurality of connection points when the memory card is received by th,Reusable housing and memory card therefor,,14
13,5666657,,5666657,,1997-09-09,"A selective call receiver (100) uses a method of partial address correlation to decode a portion of a selective call signal transmitted by a radio communication system so as to reduce energy consumption of the selective call receiver (100). The selective call receiver (100) is programmed to receive the portion of the selective call signal from the radio communication system, determine a first probable energy E.sub.1 that would be dissipated by the selective call receiver if it were to use partial address correlation, and compare the first probable energy E.sub.1 to a second probable energy E.sub.2 that would be dissipated by the selective call receiver if it did not use partial address correlation. If E.sub.1 is less than E.sub.2, then partial address corre",Method in a selective call receiver for applying conditional partial address correlation to a message,,14
14,5677085,,5677085,,1997-10-14,,Electrode materials for electrochemical cells and method of making same,,6
15,5687056,,5687056,,1997-11-11,,"Variable voltage, variable capacitance chip capacitor device having lead pins electrically coupled to capacitor subassembly",,12
16,5691622,,5691622,,1997-11-25,,Idle current cutoff circuit,,15
17,5691981,,5691981,,1997-11-25,,Method and apparatus for providing roaming instructions to data communication receivers,,20
18,5693434,,5693434,,1997-12-02,,Electrochemical cell having a polymer electrolyte,,6
19,5694120,,5694120,,1997-12-02,,Method for selecting information services from a menu in selective call transceivers,,20
20,5694431,,5694431,,1997-12-02,,Method and apparatus for average power control,,20
21,5696765,,5696765,,1997-12-09,,Configurable hybrid medium access control for cable metropolitan area networks,,6
22,5697538,,5697538,,1997-12-16,,Holster for a portable communication device,,4
23,5699365,,5699365,,1997-12-16,,Apparatus and method for adaptive forward error correction in data communications,,46
24,5705955,,5705955,,1998-01-06,"A frequency-locked loop (100) employs a controllable oscillator (102) for generating an output signal having a frequency, optional sampler (104), coupled to oscillator (102), for sampling the frequency of the output signal, a divider (106), coupled to optional sampling circuit (104), for dividing the output signal frequency to generate a prescaled signal and a microprocessor (108), coupled between the divider 106 and oscillator (102), for comparing the prescaled signal to a reference signal and generating a control signal for correcting frequency shifts based upon the comparison. The control signal generated by microprocessor (108) is non-continuous. During that time when microprocessor (108) generates no control signals, power is removed from various frequency-locked loop circuitry.",Frequency locked-loop using a microcontroller as a comparator,,5
25,5705995,,5705995,,1998-01-06,"A selective call receiver such as a pager (44) sorts and stores received messages (24-32) by categories and, optionally, by sub-categories as well. The category of a received message is determined by comparing a received message to identifying data (106) stored in the pager (44). Both the identifying data (106) and the categories can by changed by the user. When the category of a received message has been determined, a user alert is generated, the alert being indicative of the category of the message.",Selective call receiver and method of storing messages therein,,21
26,5710972,,5710972,,1998-01-20,"A method and apparatus controls zone registrations in a radio communication system providing radio coverage to a portable subscriber unit (122) within a plurality of zones (402), wherein the portable subscriber unit (PSU) determines its own call rate (602). A fixed portion (102) of the radio communication system sends the PSU a threshold value based on communication activity associated with the PSU, a call rate estimation interval value, and a multiplier for normalizing the PSU's own call rate with the threshold value. The fixed portion accepts zone registrations from the PSU when the PSU's own call rate is greater than the threshold value and defers zone registration from the PSU when the PSU's own call rate is less than or equal to the threshold value until the PSU's own call rate exceeds the threshold value.",Method and apparatus for deferring zone resistrations from a PSU-pager when the PSU's own call rate is less than or equal to a transmitted threshold,,28
27,5710975,,5710975,,1998-01-20,"A battery-powered selective call transceiver, operating in two-way communication with an RF communication system, can be put in a power saving state. A user control on the transceiver allows a user to select the duration of a power saving interval. The transceiver sends to the communication system a signal requesting that the transceiver enter a power saving state for the selected interval. Upon receipt of an acknowledgment signal from the system, the transceiver enters the power saving state.",Selective call transceiver with system approved power saving state,,13
28,5710998,,5710998,,1998-01-20,"A transceiver (10) in a first embodiment includes a zero intermediate frequency (ZIF) receiver (11), which achieves high throughput operation by reducing receiver latency time due to receiver response within a receiver pass band to carrier spectral components of a modulated carrier frequency. During a receive mode, a receiver local oscillator (LO) frequency is offset from the carrier frequency within the receiver pass band, preferably as determined by worst case errors in the carrier frequency and the LO frequency. During a transmit mode, the receiver LO frequency is modulated in such a way as to suppress the LO center frequency component in the modulated spectrum.",Method and apparatus for improved zero intermediate frequency receiver latency,,7
29,5716421,,5716421,,1998-02-10,"An electrochemical cell 10 includes first and second electrodes 12 and 14 with an electrolyte system 26 disposed therebetween. The electrolyte system includes at least a multilayered first polymeric region 28, having second layers 30 and 32, of a second polymer material. The second layers may absorb an electrolyte active species and to adhere the adjacent layer of electrode material to the electrolyte 26. The electrolyte system further includes a process for packaging and curing the electrolyte after it has been incorporated into a discrete battery device.",Multilayered gel electrolyte bonded rechargeable electrochemical cell and method of making same,,12
30,5726983,,5726983,,1998-03-10,"A TDMA signal of frames of a nominal duration and having time slots is demodulated (120, 150, 160). A time slot assignment circuit (170) assigns and re-assigns time slots in a present and next frame based on TDMA control information. A real-time timing control circuit (180) determines a recovered-data duration for production of recovered data by a data decoder (190). The data decoder (190) produces the recovered-data during the receive-data duration by time compression or expansion during the next frame when a different time slot is re-assigned by the time slot re-assignment circuit (170).",Communication device with variable frame processing time,,20
31,5728181,,5728181,,1998-03-17,"An electrochemical cell is provided with a first and second electrode assemblies (10) (11), and an electrolyte (15) disposed therebetween. The electrodes may either be of the same or different materials and may be fabricated from ruthenium, iridium, cobalt, tungsten, vanadium, iron, molybdenum, nickel, silver, zinc, and combinations thereof. The electrode assemblies are fabricated by depositing a layer (16) of a conductive ink adhesive on a surface of a current collecting substrate (12). Thereafter, a layer of powdered active material (18) is impregnated onto the surface of the conductive ink layer.",Electrodes for electrochemical cells and method of making same,,20
32,5729219,,5729219,,1998-03-17,"A selective call radio (10), including a housing (12), has a display (18) and touchpad (22) of the same size. The display is mounted to a surface on one side of the housing, and the touchpad is mounted to another surface on an opposite side of the housing, directly opposite the display. A screen surface of the display and a touch surface of the touchpad are parallel and have a same number of edges. Sliding of a user's fingertip on the touchpad in a right-to-left direction causes movement of a pointer (26) in a left-to-right direction, and vice versa. Movement on the touchpad causes movement in an identical amount on the display.",Selective call radio with contraposed touchpad,,9
33,5732387,,5732387,,1998-03-24,"A subscriber unit (26) contains location data that expires after predetermined time periods that are based on the subscriber's mobility. When the location data has not expired, the subscriber unit requests access (108) to a satellite communication system (10) by providing location data within an access request message. The communication system performs a quick check (214) to validate the location data. Accordingly, time-consuming geo-location procedures are avoided when a call is initiated or being received. When the location data has expired, the subscriber unit requests access (110) without providing location data within the access request message. The communication system performs a complete geolocation procedure (210) to determine valid location data for the subscriber unit. The location data is sent (211) to the subscriber unit and time stamped (113).",Method and apparatus for call establishment in a satellite communication system,,22
34,5736933,,5736933,,1998-04-07,"Redundancy is provided in a communication network including a plurality of nodes (114, 112, 106, 102) by a first node (114) receiving and storing (402) a message (210) in a first memory (202). The first node then transmits (404) the message to a first one of a plurality of second nodes (112), and removes (412) the message from the first memory after receiving an acknowledgment from any one of the plurality of second nodes. The first one of the plurality of second nodes receives (502) and stores (504) the message within a second memory (302) and stores (506) the message within a third memory (110) accessible to the plurality of second nodes. The first one of the plurality of second nodes transmits (508) the acknowledgment to the first node after storing the message in both the second and third memories.",Method and apparatus for providing redundancy in a communication network,,12
35,5737404,,5737404,,1998-04-07,"A distributed signaling system seven (SS7) call handling system (107) includes an SS7 message transport protocol level three (MTPL3) processing module (202), an SS7 message transport protocol lower level (MTPLL) processing module (258), and a local interconnection media (240). The SS7 MTPL3 processing module (202) includes an SS7 MTPL3 network layer (204) and an MTPL3 local network interface (218). The SS7 MTPLL processing module (258) includes an SS7 message transport protocol level one (MTPL1) physical layer (259), an SS7 message transport protocol level two (MTPL2) link layer (256), and an MTPLL local network interface (254). The local interconnection media (240), for example an Ethernet, couples the MTPL3 local network interface (218) to the MTPLL local network interface (254).",Distributed signaling system seven call handling system,,15
36,5738583,,5738583,,1998-04-14,"An interactive wireless gaming system has a plurality of wireless gaming units which operate alternately as a host device. The wireless gaming units include a receiver for receiving wireless messages including gaming information which provides periodically update data signals generated by the gaming units to indicate a present position of a plurality of moveable objects moving. A display displays the gaming information in a form of graphic characterizations depicting the moveable objects. A processor generates the updated gaming information, and includes a memory for storing the data signals; a decoder for generating control signals in response to the gaming information received; a controller responsive to the control signals for effecting sequential storage of the data signals and a recall of a last of the data signals stored for display; and a network interface coupled between the controller and the game server. A transmitter transmits wireless responses to provide the updated gaming information.",Interactive wireless gaming system,,14
37,5740534,,5740534,,1998-04-14,"A selective call receiver (106) has a frequency synthesizer (708) for scanning a plurality of frequencies to determine a control channel to receive a signal and a receiver (704) for receiving the signal representative of an available frequency associated with a geographic region. The signal includes a channel identifier (404), a frequency assignment (406) and an active channel indicator (408). A processor (712) associates the channel identifier (404) with the frequency assignment (406) in response to the active channel indicator (408) indicating an available frequency of the geographic region and a memory (720) stores channel identifiers (404) associated with frequency assignments (406) designating available frequencies (408). The receiver (704) receives an address (333) and the channel identifier (404) on the control channel, a decoder (714) decodes the channel identifier (404) associated with the frequency assignment (406) to determine the available frequency where a message will be transmitted and the frequency synthesizer (708) switches to the available frequency indicated by the channel identifier (404) for receiving the message.",Method for determining available frequencies in selective call receivers,,16
38,5741609,,5741609,,1998-04-21,"An electrochemical cell 22 comprises first and second electrode assemblies 10 and 24. Disposed between the electrode assemblies 10 and 24 is a layer of an electrolyte material 32. The electrode assemblies are adhered to the electrolyte layer by means of a adhesive layers 20 and 30 disposed between layers of electrode material 12 and 26 and the layer of electrolyte active material. The layer of adhesive material may be made of any of a number of materials, examples of which include polymers, epoxies, resins, and combinations thereof.",Electrochemical cell and method of making same,,16
39,5745203,,5745203,,1998-04-28,"A liquid crystal display device (10) for forming a display includes a liquid crystal panel (12), a switchable holographic optical element (14), and a reflective holographic optical element (16). Ambient light illuminates a front polarizer (18), which polarizes the ambient light and transmits the polarized light to the liquid crystal cell (20). The liquid crystal cell (20) receives the polarized light and transmits polarized light derived from the incident polarized light to a back polarizer (22). The back polarizer (22) polarizes the light and transmits the light to the switchable holographic optical element (14). While in a first mode, the switchable holographic optical element (14) redirects the light back toward the liquid crystal panel (12) within a first viewing cone (34) to form the display. In a second mode, the switchable holographic optical element (14) is transparent and transmits the light to the reflective holographic optical element (16). The reflective holographic optical element (16) redirects the light back toward the liquid crystal panel (12) in a second viewing cone (36) to form the display. The second viewing cone (36) is preferably narrower than the first viewing cone (34), which increases the intensity of the light within the second viewing cone (36).",Liquid crystal display device including multiple ambient light illumination modes with switchable holographic optical element,,14
40,5745481,,5745481,,1998-04-28,"A messaging system capable of transmitting messages to receivers which roam between coverage areas. In one configuration, a coverage area (600) is divided into a plurality of zones (605, 610, 615). A single simulcast system identification (SSID) number is assigned which consists of a local identification number which identifies the coverage area (600), a zone identifier which identifies a zone (610) within the coverage area, traffic splitting flags and a frequency. For larger roaming areas, a network is defined as consisting of a plurality of service areas and is identified by network identification information (NID). NID information and/or SSID information along with a priority value is stored in a receiver according to desired coverage and like information is transmitted in the corresponding zone or service area and the roaming pager operates on the frequency having the NID or SSID having the highest priority.",Message system and method for efficient multi-frequency roaming,,20
41,5745566,,5745566,,1998-04-28,"A portable communication device (100) includes a first escutcheon (108) and a second escutcheon (110), both of which are removable by a user to alter or customize the cosmetic appearance of the portable communication device according to the user's preference. The first escutcheon (108) includes tabs (156, 158) on an inner surface (122). The tabs engage slots (160, 162) on a housing (112). The tabs and slots are aligned to brace the first escutcheon (108) against impact or other forces. The second escutcheon (110) includes an outer perimeter (204) which nestingly engages an inner perimeter (202) of a recessed portion (200) of the keypad cover. A boss (216) on the second escutcheon (110) engages an aperture (218) defined by the keypad cover (106) to retain the second escutcheon (110) on the keypad cover (106).",Portable communication device having removable escutcheon elements,,24
42,5745695,,5745695,,1998-04-28,"A method of operation of a radio system with data capability, for example a GSM cellular radio system with GPRS capability includes suspending data service while remaining logged on to the system and signalling from a remote station (10) to a serving data service support node (13) via a base station subsystem (11) that data service is suspended. In another aspect, data is exchanged over a data channel (100) during first time periods (102) and exchange of data over the data channel stops during second time periods (103) intermittent between the first time periods. During the second time periods paging requests communicated on a paging channel (101) are monitored at the remote station (10). A non-data service paging request is identified on the paging channel and the system responds to the non-data service paging request.",Radio system with suspension of packet data service during non-data service connection,,15
43,5745848,,5745848,,1998-04-28,An apparatus for eliminating interference caused by spurious signals includes a reference oscillator (127) and a controller (114). Circuitry (500) in a communication device (104) incorporating the apparatus operates at a rate set by a system clock signal (CLOCK). The communication device (104) communicates on any one of a plurality of different channels. The reference oscillator (127) outputs the system clock signal (CLOCK) at a first frequency which generates spurious signals on at least one of the plurality of different channels. The controller (114) shifts the system clock signal (CLOCK) by a first predetermined amount to a second frequency when the communication device (104) is to be tuned to the at least one of the plurality of different channels so as to remove the spurious signals from the at least one of the plurality of different channels.,Method and apparatus for eliminating interference caused by spurious signals in a communication device,,17
44,5750284,,5750284,,1998-05-12,"An electrochemical cell (10) includes first and second electrodes (12) and (14) with an electrolyte system (26) disposed therebetween. The electrolyte system includes a polymeric support structure through which is dispersed an electrolyte active species in an organic solvent. The solvent, which remains liquid to low temperatures, is a binary or higher order system comprising diethyl carbonate and one or more of propylene carbonate, ethylene carbonate, dimethyl carbonate, dipropylcarbonate, dimethylsulfoxide, acetonitrile, dimethoxyethane, tetrahydrofuran, n-methyl-2-pyrrolidone, and combinations thereof.",Electrolyte composition for rechargeable electrochemical cells,,4
45,5754484,,5754484,,1998-05-19,"An apparatus (101, 110) and method provide for memory utilization and management which may expand the number of write operations for limited write memories, such as non-volatile memory, to provide for more optimal performance of systems such as computer or communication systems. Such memory utilization, in accordance with the present invention, includes allocating portions of the limited write memory, as a memory structure, for an ordinal or parameter designation. Upon system initialization or start up, comparison of adjacent ordinal designations may then be utilized to precisely locate the area of memory into which data or other information was previously written, indicating the current memory locations for current read operations, and to precisely locate the area of memory into which data or other information is to be written next, in order to provide the proper memory location for a subsequent write operation. The ordinal designation also provides for tracking the number of write operations performed in a given memory location, to prevent overuse of a given memory location and concomitant potential loss of data. In the preferred embodiment, the apparatus includes a processor (150) and memory (155), which includes a working memory and a limited write memory.",Apparatus and method for utilization of limited write memory,,18
46,5754739,,5754739,,1998-05-19,"A radio frequency manager (12) for choosing a selective call transmitter (20 or 25) among a plurality of selective call transmitters comprises a memory (13) for storing historical data on messages previously sent, the historical data comprising for each transmitter at least a latency measurement and a message queue profile and another memory (15) for storing pending messages, each of the pending messages having current information comprising at least an associated priority for the pending messages. The radio frequency manager further comprises a sorter (21) for classifying the historical data and the current information using fuzzy logic, wherein the sorter comprises a fuzzifier (14) for generating membership values, a rule base (16) for applying a set of predetermined rules to the current input conditions to perform a mapping with the historical conditions, and a defuzzifier (18) for generating a non-fuzzy prediction recommendation from the mapping for recommending the optimum transmitter.",Adaptive system and method for choosing a selective call transmitter,,18
47,5754953,,5754953,,1998-05-19,"A memory (218) of a subscriber unit (122) is written (302) with a subscriber unit identification code (226) and an activation data package (228) including an activation home index (230), and at least one of a corresponding service provider name (232), service provider identification number (234), service provider operating frequency (236), and service provider contact information (238). The subscriber unit is programmed (304) to convey, to at least one of the user and the service provider, the subscriber unit identification code and selected portions of the activation data package and to make operational the activation home index, when the subscriber unit is in a service zone operated for the service provider and the service has not yet been activated.",Method and apparatus for assisting a user to activate service for a subscriber unit in a messaging system,,15
48,5757367,,5757367,,1998-05-26,"A communication system operates on a fixed-length data string (339) and utilizes fixed-length frames (200) to transmit data. Variable noise on a transmission path (105) requires adaptive encoding to sustain effective communication. An adaptive encoding type (201) produces variable length codes (205). Variable length codes (205) are accommodated by segmenting a fixed-length data string (339) into data groups. A data group (204) plus a code (205) occupy a fixed-length frame (200). At a transceiver node (150), the data groups (204) are ordered and concatenated to form the fixed-length data string (339).",Numbering scheme for dynamic error encoding and method therefore,,20
49,5758264,,5758264,,1998-05-26,"A visual presentation of a simulated communication unit moving through a wireless communication system is combined with an audio presentation of speech that a user would hear (311) if the user were placed in the same radio environment. In addition, both audible and visual indicia of RF interference may also be provided (107, 109), with or without audio playback, to aid in designing around interference sources and their intensities. A set of error masks and corresponding audio files are created (305), wherein each file contains the same audio track, but based on speech error masks created at different vehicle speeds and signal to noise ranges. Real-time playback of the audible signal with noise is useful in planning for particular needs of a wireless communication system planner.",Display of geographic locations with correlated signal quality measurements,,14
50,5760714,,5760714,,1998-06-02,"The interrupt-driven keypad scanning method and apparatus accurately interprets keypresses in single-keypress applications. Initially, interrupts (16, 26, 36, 46) associated with each column line (10, 20, 30, 40) of a keypad matrix (70) are set to trigger when a key is pressed. Once an interrupt triggers, a microcontroller (99) polls the row lines (15, 25, 35, 45, 55, 65) to determine which key, if any, was validly pressed. If exactly one keypress is detected, the keypress is valid. Next, the interrupt for the valid key's column line is enabled while the other column line interrupts are disabled. When a next interrupt is received, the keypad returns to the row-scan state for determination of which keys are depressed. If no keys are depressed, which occurs when the validly-pressed key has been released, the keypad returns to the keypress-detect state. The method also interprets pathological keypresses such as key rollover, multiple keypresses, and key mis-hits.",Interrupt-driven keypad scanning method and apparatus,,14
51,5761504,,5761504,,1998-06-02,"A method of updating a software code in a cable communication system (10) involves the steps of receiving a notification (100) by a cable access unit (30). Next, the cable access unit (30) receives (110) the software code. After receiving (110) the software code the CAU (30) resets (114) and reboots using the software code.",Method for updating a software code in a communication system,,7
52,5764104,,5764104,,1998-06-09,"An input signal (102) and a dithering signal (106) are coupled to an input of a n by m transform matrix (98). The input signal (102) and the dithering signal (106) are transformed to produce m transformed signals, which are then amplified using a plurality of amplifiers (64). The amplified signals are then input into an m by n inverse transform matrix (100) that performs an inverse transform to produce a low noise output signal. The low noise output signal may be passed through a band pass filter (74) to remove out-of-band noise derived from the dithering signal and provide a filtered output signal (110). The transform matrix (98) and inverse transform matrix (100) may be implemented with Fourier transform matrices or a Butler transform matrices.",Method and system for reducing noise in a hybrid matrix amplifier,,21
53,5764690,,5764690,,1998-06-09,"An asynchronous communications receiver rapidly despreads and demodulating a short, low duty cycle CDMA burst signal. The receiver includes a multichannel despreader (20) for generating a plurality of despread signals (21) corresponding to timing offsets of a spreading code. The plurality of despread signals are respectively supplied to a plurality of demodulators (22) for demodulating each despread signal and for respectively generating a plurality of soft decisions for each demodulated bit values whereby each soft decision is proportional to the quality of the received signal. The plurality of soft decisions are supplied to both a first input of a plurality of multipliers (23) and to a plurality of inputs of a selector (28). The selector processes the soft decisions from each of the demodulators and generates a message indicator (29) when a message is present. The selector also generates a plurality of weights (W1-WN) corresponding to each of the plurality of soft decisions and applies these weights to a second input of the plurality of multipliers. The multipliers multiply the soft decision by its respective weight as supplied from the selector to generate output scaled signals. Finally, a combiner (30) sums the scaled signals to provide an output bit value for applying to a message extractor (32) which generates the actual received digital message.",Apparatus for despreading and demodulating a burst CDMA signal,,33
54,5764899,,5764899,,1998-06-09,"For optimized reply, when sending a reply (902) in a first embodiment a remote communication unit's controller (206) generates a delta between a preceding message and the reply message, and forms an optimized reply (904) using the delta and an identifier of the preceding message. On receiving the optimized reply, the communication server uses the data unit identifier to retrieve (910) the preceding message from a further server (e.g., the post office mailbox of the user associated with the remote unit), reconstructs (914) the full reply from the retrieved message and the delta, and forwards (916) the full reply to the addressee. When receiving a reply for the remote unit (918), an index is preferably maintained by both units of mail stored at the remote unit. From this index a preceding message forming part of the reply is identified (920). An optimized reply is then similarly formed (922) and sent to the remote unit.",Method and apparatus for communicating an optimized reply,,12
55,5767738,,5767738,,1998-06-16,"A receiver (156) includes both a coherent and noncoherent demodulator. When the confidence that estimates of the channel is high, the coherent demodulator is implemented. When the confidence that estimates of the channel is low, the noncoherent demodulator is implemented. A controlling microprocessor (162) controls the selection process and also provides a signal (158) to enable the noncoherent demodulator in instances when noncoherent demodulation would most likely be better than coherent demodulation. As an example, such an instance would be immediately after handoff of a mobile station (505) from a source base-station (503) to a target base-station (502).",Apparatus and method for demodulating a modulated signal,,14
56,5771353,,5771353,,1998-06-23,"A communication system includes a virtual session manager (225) for establishing and maintaining a sessionless communication path with a user device (201) on the one hand and a session-oriented communication path with a host system (231). The session-oriented connection with the host system permits normal access to, e.g., LAN-based applications, while the virtual session between the virtual session manager and user permits this access to be carried out remotely without the expense of a dedicated/circuit-switched or other session-oriented connection.",System having virtual session manager used sessionless-oriented protocol to communicate with user device via wireless channel and session-oriented protocol to communicate with host server,,19
57,5771461,,5771461,,1998-06-23,"Power control in a spread-spectrum communication system takes place by determining origination power of a traffic channel based on a number of active demodulators and pilot channel signal quality (610). Once origination transmit power is determined and call origination takes place, the transmit power is reduced at a first rate when a time is less than a time for all active demodulators to be established (615), otherwise the transmit power is reduced at a second rate (621). After all active demodulators have been acquired power control takes place by receiving a Power Measurement Report Message (PMRM) or a Pilot Strength Measurement Message (PSMM), determining, a signal quality metric existing at the remote unit based on the PMRM or PSMM, and adjusting transmit power based on the signal quality metric (645).",Method and apparatus for power control of a first channel based on a signal quality of a second channel,,15
